TrialNum,VisType,TruePercent,GuessPercent,Error,AdjError
38,voronoi,52,45,7,2.83
39,bubble,55,70,15,3.92
40,treemap,22,15,7,2.83
41,treemap,90,75,15,3.92
42,bar,70,66,4,2.04
43,bubble,4,10,6,2.61
44,voronoi,3,5,2,1.09
45,treemap,45,25,20,4.33
46,voronoi,8,10,2,1.09
47,bar,47,50,3,1.64
48,bubble,93,99,6,2.61
49,voronoi,15,20,5,2.36
50,treemap,14,10,4,2.04
51,bubble,81,95,14,3.82
52,bar,42,45,3,1.64
53,voronoi,11,15,4,2.04
54,bubble,63,75,12,3.6
55,treemap,7,5,2,1.09
56,bar,97,95,2,1.09
57,bar,16,20,4,2.04
58,bubble,68,80,12,3.6
59,treemap,50,50,0,-3.0
60,voronoi,92,100,8,3.02
61,voronoi,23,25,2,1.09
62,treemap,12,10,2,1.09
63,bubble,61,85,24,4.59
64,bar,56,60,4,2.04
65,treemap,57,55,2,1.09
66,bubble,18,33,15,3.92
67,voronoi,96,95,1,0.17
68,bar,58,66,8,3.02
69,treemap,14,10,4,2.04
70,voronoi,67,85,18,4.18
71,bar,26,30,4,2.04
72,bubble,99,95,4,2.04
73,bar,64,66,2,1.09
74,treemap,33,25,8,3.02
75,bubble,55,60,5,2.36
76,voronoi,71,80,9,3.19
77,bar,58,55,3,1.64
78,bubble,97,95,2,1.09
79,treemap,60,50,10,3.34
80,voronoi,28,25,3,1.64
1,bubble,66,80,14,3.82
2,bar,9,10,1,0.17
3,voronoi,97,75,22,4.47
4,treemap,93,80,13,3.71
5,bar,52,60,8,3.02
6,treemap,31,25,6,2.61
7,voronoi,6,5,1,0.17
8,bubble,39,50,11,3.48
9,treemap,86,90,4,2.04
10,bar,85,85,0,-3.0
11,bubble,58,75,17,4.1
12,voronoi,53,65,12,3.6
13,voronoi,3,5,2,1.09
14,bar,4,5,1,0.17
15,treemap,92,90,2,1.09
16,bubble,17,10,7,2.83
17,bar,31,33,2,1.09
18,treemap,30,20,10,3.34
19,bubble,24,30,6,2.61
20,voronoi,42,40,2,1.09
21,treemap,75,60,15,3.92
22,bar,36,40,4,2.04
23,voronoi,23,15,8,3.02
24,bubble,66,85,19,4.26
25,voronoi,31,25,6,2.61
26,treemap,82,85,3,1.64
27,bar,96,95,1,0.17
28,bubble,35,50,15,3.92
29,treemap,7,10,3,1.64
30,voronoi,18,20,2,1.09
31,bar,62,66,4,2.04
32,bubble,90,90,0,-3.0
33,treemap,77,66,11,3.48
34,bubble,89,98,9,3.19
35,voronoi,74,75,1,0.17
36,bar,12,10,2,1.09
37,bar,66,66,0,-3.0
38,bubble,11,15,4,2.04
39,treemap,5,10,5,2.36
40,voronoi,89,85,4,2.04
41,bubble,92,100,8,3.02
42,voronoi,34,20,14,3.82
43,bar,66,60,6,2.61
44,treemap,27,20,7,2.83
45,voronoi,85,90,5,2.36
46,bubble,92,95,3,1.64
47,treemap,65,66,1,0.17
48,bar,54,55,1,0.17
49,voronoi,46,70,24,4.59
50,treemap,89,75,14,3.82
51,bubble,83,85,2,1.09
52,bar,10,15,5,2.36
53,bubble,8,10,2,1.09
54,bar,56,60,4,2.04
55,voronoi,45,33,12,3.6
56,treemap,52,55,3,1.64
57,bubble,17,20,3,1.64
58,voronoi,37,40,3,1.64
59,bar,57,55,2,1.09
60,treemap,61,60,1,0.17
61,treemap,59,55,4,2.04
62,bar,65,66,1,0.17
63,bubble,34,50,16,4.01
64,voronoi,20,20,0,-3.0
65,bar,50,50,0,-3.0
66,treemap,80,75,5,2.36
67,bubble,27,50,23,4.53
68,voronoi,48,40,8,3.02
69,voronoi,79,95,16,4.01
70,bubble,13,10,3,1.64
71,treemap,8,5,3,1.64
72,bar,65,60,5,2.36
73,bubble,98,100,2,1.09
74,treemap,85,85,0,-3.0
75,voronoi,92,90,2,1.09
76,bar,55,55,0,-3.0
77,treemap,43,45,2,1.09
78,voronoi,20,15,5,2.36
79,bar,18,20,2,1.09
80,bubble,35,60,25,4.65
1,voronoi,49,50,1,0.17
2,treemap,7,10,3,1.64
3,bubble,85,90,5,2.36
4,bar,24,25,1,0.17
5,bubble,98,95,3,1.64
6,bar,4,10,6,2.61
7,treemap,75,66,9,3.19
8,voronoi,22,25,3,1.64
9,bubble,55,70,15,3.92
10,voronoi,34,33,1,0.17
11,treemap,88,90,2,1.09
12,bar,57,60,3,1.64
13,voronoi,96,90,6,2.61
14,treemap,92,95,3,1.64
15,bubble,73,85,12,3.6
16,bar,38,40,2,1.09
17,treemap,40,25,15,3.92
18,bar,26,35,9,3.19
19,bubble,85,95,10,3.34
20,voronoi,15,15,0,-3.0
21,bubble,66,85,19,4.26
22,treemap,61,50,11,3.48
23,voronoi,61,75,14,3.82
24,bar,82,95,13,3.71
25,treemap,56,50,6,2.61
26,voronoi,68,66,2,1.09
27,bar,11,15,4,2.04
28,bubble,59,75,16,4.01
29,bar,64,66,2,1.09
30,voronoi,89,90,1,0.17
31,treemap,44,40,4,2.04
32,bubble,90,100,10,3.34
33,bar,3,10,7,2.83
34,voronoi,16,15,1,0.17
35,bubble,97,95,2,1.09
36,treemap,47,33,14,3.82
37,bubble,11,10,1,0.17
38,voronoi,33,25,8,3.02
39,bar,61,60,1,0.17
40,treemap,10,10,0,-3.0
41,bubble,65,75,10,3.34
42,treemap,26,20,6,2.61
43,voronoi,11,10,1,0.17
44,bar,10,15,5,2.36
45,treemap,77,80,3,1.64
46,bar,9,15,6,2.61
47,voronoi,4,5,1,0.17
48,bubble,81,90,9,3.19
49,treemap,49,50,1,0.17
50,bubble,78,85,7,2.83
51,voronoi,100,90,10,3.34
52,bar,71,75,4,2.04
53,voronoi,83,60,23,4.53
54,bubble,22,25,3,1.64
55,bar,49,50,1,0.17
56,treemap,99,100,1,0.17
57,bar,92,95,3,1.64
58,voronoi,12,20,8,3.02
59,bubble,93,95,2,1.09
60,treemap,56,50,6,2.61
61,treemap,90,75,15,3.92
62,bubble,52,75,23,4.53
63,voronoi,71,66,5,2.36
64,bar,89,90,1,0.17
65,bar,82,90,8,3.02
66,bubble,96,100,4,2.04
67,treemap,45,40,5,2.36
68,voronoi,92,90,2,1.09
69,treemap,77,80,3,1.64
70,bar,26,25,1,0.17
71,bubble,31,50,19,4.26
72,voronoi,39,30,9,3.19
73,bar,54,55,1,0.17
74,voronoi,86,95,9,3.19
75,treemap,25,15,10,3.34
76,bubble,51,75,24,4.59
77,voronoi,86,90,4,2.04
78,treemap,33,33,0,-3.0
79,bar,5,10,5,2.36
80,bubble,43,60,17,4.1
1,bubble,52,50,2,1.09
2,bar,81,80,1,0.17
3,voronoi,60,50,10,3.34
4,treemap,21,20,1,0.17
5,bubble,91,95,4,2.04
6,bar,88,85,3,1.64
7,treemap,70,66,4,2.04
8,voronoi,29,20,9,3.19
9,voronoi,64,60,4,2.04
10,treemap,4,5,1,0.17
11,bar,98,98,0,-3.0
12,bubble,81,95,14,3.82
